1	(3,1) (1,2) (1,5) (1,11) (1,14) (3,15)
2	(4,1) (1,2) (2,5) (2,11) (1,14) (4,15)
3	(5,1) (2,2) (3,5) (3,11) (2,14) (5,15)
4	(5,2) (2,2) (3,6) (3,10) (2,14) (5,14)
5	(5,2) (4,2) (3,2) (2,2) (3,7) (3,10) (2,14) (3,14) (4,14) (5,14)
6	(5,2) (4,2) (3,2) (2,2) (3,7) (3,8) (3,9) (3,10) (2,14) (3,14) (4,14) (5,14)
7	(5,2) (4,2) (3,2) (2,2) (3,7) (3,8) (3,9) (3,10) (2,14) (3,14) (4,14) (5,14)
8	(5,2) (4,2) (3,2) (2,2) (3,7) (3,8) (3,9) (3,10) (2,14) (3,14) (4,14) (5,14)
9	(5,2) (4,2) (3,2) (2,2) (3,7) (3,8) (3,9) (3,10) (2,14) (3,14) (4,14) (5,14)
10	(5,2) (4,2) (3,2) (2,2) (3,7) (3,8) (3,9) (3,10) (2,14) (3,14) (4,14) (5,14)
11	(5,2) (4,2) (3,2) (2,2) (3,7) (3,8) (3,9) (3,10) (2,14) (3,14) (4,14) (5,14)
12	(5,2) (2,2) (3,7) (3,8) (3,9) (3,10) (2,14) (5,14)
13	(6,2) (2,3) (3,7) (3,8) (3,9) (3,10) (2,14) (6,14)
14	(7,2) (2,4) (4,7) (4,10) (2,14) (7,14)
15	(7,1) (3,4) (5,7) (5,10) (2,14) (7,15)
16	(3,5) (6,7) (5,11) (2,14)
17	(1,8) (3,6) (7,7) (5,12) (2,14)
18	(1,9) (3,7) (7,6) (5,13) (2,14)
19	(1,10) (3,7) (7,5) (5,14) (2,14)
20	(2,10) (3,7) (7,4) (5,14) (4,14) (3,14) (2,14)
21	(3,10) (3,7) (7,3) (5,14) (4,14) (3,14) (2,14)
22	(3,10) (3,9) (3,8) (3,7) (7,2) (5,14) (4,14) (3,14) (2,14)
23	(3,10) (3,9) (3,8) (3,7) (7,1)  (5,14) (4,14) (3,14) (2,14)
24	(3,10) (3,9) (3,8) (3,7) (5,14) (4,14) (3,14) (2,14)
25	(3,10) (3,9) (3,8) (3,7) (5,14) (4,14) (3,14) (2,14)
26	(3,10) (3,9) (3,8) (3,7) (5,14) (2,14)
27	(3,10) (3,9) (3,8) (3,7) (5,14) (2,14)
28	(3,10) (3,7) (6,14) (2,14)
29	(3,10) (3,7) (7,14) (2,14)
30	(4,10) (4,7) (7,15) (2,14)
31	(5,10) (5,7) (2,14)
32	(5,11) (6,7) (2,14)
33	(5,12) (7,7) (2,14)
34	(5,13) (7,6) (2,14)
35	(5,14) (7,5) (2,14)
36	(7,4) (2,14) (3,14) (4,14) (5,14)
37	(1,11) (7,3) (2,14) (3,14) (4,14) (5,14)
38	(1,12) (7,2) (2,14) (3,14) (4,14) (5,14)
39	(2,12) (7,1) (2,14) (3,14) (4,14) (5,14)
40	(3,12) (2,14) (3,14) (4,14) (5,14)
41	(4,12) (2,14) (3,14) (4,14) (5,14)
42	(5,12) (2,14) (5,14)
43	(5,12) (2,14) (5,14)
44	(5,12) (2,14) (6,14)
45	(5,12) (2,14) (7,14)
46	(5,13) (2,14) (7,15)
47	(5,14) (2,14)
48	(5,14) (4,14) (3,14) (2,14)
49	(5,14) (4,14) (3,14) (2,14)
50	(5,14) (4,14) (3,14) (2,14)
51	(5,14) (4,14) (3,14) (2,14)
52	(5,14) (4,14) (3,14) (2,14)
53	(5,14) (4,14) (3,14) (2,14)
54	(5,14) (2,14)
55	(5,14) (2,14)
56	(6,14) (3,14)
57	(7,14) (4,14)
58	(8,14) (5,14)
59	(8,13) (6,14)
60	(6,15)
61	(7,15)
end
